"Icon","Title","Description","Description (Lv 1)","Description (Lv 2)","Description (Lv 3)","Description (Lv 4)","Description (Lv 5)","Description (Lv 6)","Description (Lv 7)","Other Info","Obtained From","Max Level","Ingredients"
"","Rey Dau's Voltage","","Moderately extends the activation time of the Latent Power skill.…","Extends the activation time of the Latent Power skill.","","","","","","","Rey Dau Armor Sets Rey Dau α Armor Sets Rey Dau β Armor Sets Rey Sandbraces Arms Rey Sandbraces α Arms Rey Sandbraces β Arms Rey Sandcoil Waist Rey Sandcoil α Waist Rey Sandcoil β Waist Rey Sandgreaves Legs Rey Sandgreaves α Legs Rey Sandgreaves β Legs Rey Sandhelm Head Rey Sandhelm α Head Rey Sandhelm β Head Rey Sandmail Chest Rey Sandmail α Chest Rey Sandmail β Chest","2",""
,,,,,,,,,,,,,
"","Rider Meal","Food Skills in Monster Hunter Wilds can apply a wide variety…","","","","","","","","","","",""
"","Riser Meal","Food Skills in Monster Hunter Wilds can apply a wide variety…","","","","","","","","","","",""
"","Scale Layering","","Temporarily reduces stamina depletion when health is at 40% or…","","","","","","","","Balahara Coil β Waist Balahara Greaves β Legs Balahara Helm β Head Balahara Mail β Chest Balahara Vambraces β Arms Balahara β Armor Sets Gore Coil β Waist Gore Greaves β Legs Gore Helm β Head Gore Mail β Chest Gore Vambraces β Arms Gore β Armor Sets Gravios Coil β Waist Gravios Greaves β Legs Gravios Helm β Head Gravios Mail β Chest Gravios Vambraces β Arms Gravios β Armor Sets Hirabami Coil β Waist Hirabami Greaves β Legs Hirabami Headdress β Head Hirabami Mail β Chest Hirabami Vambraces β Arms Hirabami β Armor Sets Kranodath Mail β Chest Kranodath β Armor Sets Kut-Ku Coil β Waist Kut-Ku Greaves β Legs Kut-Ku Helm β Head Kut-Ku Mail β Chest Kut-Ku Vambraces β Arms Kut-Ku β Armor Sets Quematrice Braces β Arms Quematrice Coil β Waist Quematrice Greaves β Legs Quematrice Helm β Head Quematrice Mail β Chest Quematrice β Armor Sets Rathalos Coil β Waist Rathalos Greaves β Legs Rathalos Helm β Head Rathalos Mail β Chest Rathalos Vambraces β Arms Rathalos β Armor Sets Rathian Coil β Waist Rathian Greaves β Legs Rathian Helm β Head Rathian Mail β Chest Rathian Vambraces β Arms Rathian β Armor Sets","1",""
"","Scaling Prowess","","Makes it easier to mount monsters and to wound them once mounted.…","","","","","","","","B Balahara Armor Sets Balahara Coil Waist Balahara Coil α Waist Balahara Greaves Legs Balahara Greaves α Legs Balahara Helm Head Balahara Helm α Head Balahara Mail Chest Balahara Mail α Chest Balahara Vambraces Arms Balahara Vambraces α Arms Balahara α Armor Sets G Gore Coil α Waist Gore Greaves α Legs Gore Helm α Head Gore Mail α Chest Gore Vambraces α Arms Gore α Armor Sets Gravios Coil α Waist Gravios Greaves α Legs Gravios Helm α Head Gravios Mail α Chest Gravios Vambraces α Arms Gravios α Armor Sets H Hirabami Armor Sets Hirabami Coil Waist Hirabami Coil α Waist Hirabami Greaves Legs Hirabami Greaves α Legs Hirabami Headdress Head Hirabami Headdress α Head Hirabami Mail Chest Hirabami Mail α Chest Hirabami Vambraces Arms Hirabami Vambraces α Arms Hirabami α Armor Sets K Kranodath Armor Sets Kranodath Mail Chest Kranodath Mail α Chest Kranodath α Armor Sets Kut-Ku Coil α Waist Kut-Ku Greaves α Legs Kut-Ku Helm α Head Kut-Ku Mail α Chest Kut-Ku Vambraces α Arms Kut-Ku α Armor Sets Q Quematrice Armor Sets Quematrice Braces Arms Quematrice Braces α Arms Quematrice Coil Waist Quematrice Coil α Waist Quematrice Greaves Legs Quematrice Greaves α Legs Quematrice Helm Head Quematrice Helm α Head Quematrice Mail Chest Quematrice Mail α Chest Quematrice α Armor Sets R Rathalos Coil α Waist Rathalos Greaves α Legs Rathalos Helm α Head Rathalos Mail α Chest Rathalos Vambraces α Arms Rathalos α Armor Sets Rathian Coil α Waist Rathian Greaves α Legs Rathian Helm α Head Rathian Mail α Chest Rathian Vambraces α Arms Rathian α Armor Sets","1",""
"","Self-Improvement","","Activates skill effect.","","","","","","","","Growth Jewel [1] Armor Decorations Hope Charm Level 1","1",""
"","Shock Absorber","","Activates skill effect.","","","","","","","","Shockproof Jewel [1] Armor Decorations","1",""
"","Sizzling Meal","Food Skills in Monster Hunter Wilds can apply a wide variety…","Negates the effects of hot or cold climates and increases defense…","","","","","","","","","","Monster Chili Ingredients"
"","Sleep Attack","","Sleep buildup +5% Bonus: +10","Sleep buildup +10% Bonus: +20","Sleep buildup +20% Bonus: +50","","","","","","Sleep Jewel II [2] Weapon Decorations Sleep Jewel III [3] Weapon Decorations Sleep Jewel [1] Weapon Decorations","3",""
"","Sleep Functionality","","Lets you use sleep coatings.","","","","","","","","Sleepcoat Jewel [3] Weapon Decorations","1",""
"","Sleep Resistance","","Reduces the duration of sleep by 30%.","Reduces the duration of sleep by 60%.","Prevents sleep.","","","","","","Battle Mail α Chest Battle α Armor Sets Comaqchi Armor Sets Comaqchi Accessory Head Comaqchi Accessory α Head Comaqchi Accessory β Head Comaqchi α Armor Sets Comaqchi β Armor Sets Hope Vambraces α Arms Hope α Armor Sets King Beetle Vertex α Head King Beetle α Armor Sets Nerscylla Armor Sets Nerscylla Coil Waist Nerscylla Coil α Waist Nerscylla Greaves α Legs Nerscylla Greaves β Legs Nerscylla α Armor Sets Nerscylla β Armor Sets Pep Jewel [1] Armor Decorations Sleep Charm I Level 1 Sleep Charm II Level 2 Sleep Charm III Level 3","3",""
"","Slugger","","Stun power +20%","Stun power +30%","Stun power +40%","","","","","","Ajara Reverberator I Hunting Horn Ajara Reverberator II Hunting Horn Ajara-Jivaka Hunting Horn Balahara Hammer I Hammer Balahara Hammer II Hammer Balahara Hammer III Hammer Balahara Hammer IV Hammer Balahara Horn I Hunting Horn Balahara Horn II Hunting Horn Balahara Horn III Hunting Horn Balahara Horn IV Hunting Horn Blan Gada I Hammer Dosha Farsounder I Hunting Horn Dosha Farsounder II Hunting Horn Dosha Farsounder III Hunting Horn Dosha Gigasbreaker I Light Bowgun Dosha Gigasbreaker II Light Bowgun Farsounder Honga Hunting Horn Freezer Speartuna Great Sword Frozen Speartuna II Great Sword Gigasbreaker Urbolkule Light Bowgun Jin Dhaang I Hunting Horn KO Jewel II [2] Weapon Decorations KO Jewel III [3] Weapon Decorations KO Jewel [1] Weapon Decorations Precipice Kovira Hunting Horn Resounding Galahad Hunting Horn Rey Szelatya I Light Bowgun Rey Szelatya II Light Bowgun Rey Szelatya III Light Bowgun Sandsea Ghantisil Hunting Horn Sandsea Siamitiya Hammer Singha Gada Hammer Super Kut-Ku Cannon Heavy Bowgun Szelatya Clairgun Light Bowgun Veldian Sibilus I Hunting Horn Yian Kut-Ku Cannon I Heavy Bowgun Yian Kut-Ku Cannon II Heavy Bowgun","3",""
"","Special Ammo Boost","","Moderately increases the power of specified ammo and arrows.…","Increases the power of specified ammo and arrows.","","","","","","","Assault Conga I Light Bowgun Assault Conga II Light Bowgun Combat Conga Light Bowgun Dosha Griefbringer I Bow Dosha Griefbringer II Bow Griefbringer Urstox Bow Perkonis Clairbow Bow Power Stinger Heavy Bowgun Power Stinger II Heavy Bowgun Rey Perkonis I Bow Rey Perkonis II Bow Rey Perkonis III Bow Titan Launcher I Light Bowgun Titan Panzer Light Bowgun Trueshot Jewel II [2] Weapon Decorations Trueshot Jewel [1] Weapon Decorations Wild Power Bow I Bow Wild Power Bow II Bow Wild Stinger Heavy Bowgun Wildwood Kalifa Bow","2",""
,,,,,,,,,,,,,
"","Specialist Meal","Food Skills in Monster Hunter Wilds can apply a wide variety…","Increases the potency of abnormal status attacks.","","","","","","","","","","Wild Seed Oil Ingredients"
"","Speed Eating","","Moderately increases eating speed.","Increases eating speed.","Greatly increases eating speed.","","","","","","Bone Helm α Head Bone Vambraces α Arms Bone α Armor Sets Chatacabra Armor Sets Chatacabra Coil Waist Chatacabra Coil α Waist Chatacabra Coil β Waist Chatacabra Helm Head Chatacabra Helm α Head Chatacabra Helm β Head Chatacabra Mail Chest Chatacabra Mail α Chest Chatacabra Mail β Chest Chatacabra α Armor Sets Chatacabra β Armor Sets Conga Vambraces α Arms Conga α Armor Sets Glutton's Charm I Level 1 Glutton's Charm II Level 2 Glutton's Charm III Level 3 Gobbler Jewel [1] Armor Decorations Kunafa Sash α Waist Kunafa α Armor Sets Nu Udra Armor Sets Nu Udra α Armor Sets Nu Udra β Armor Sets Udra Mirebraces Arms Udra Mirebraces α Arms Udra Mirebraces β Arms Udra Mirecoil α Waist Udra Miregreaves Legs Udra Miremail Chest","3",""
"","Speed Sharpening","","Removes one cycle from the sharpening process.","Removes two cycles from the sharpening process.","","","","","","","A Abaddonian Krake Great Sword Abaddonian Pulpo Hammer D Destructive Torpor Great Sword E Esperanza Axe Switch Axe Esperanza Blade Great Sword Esperanza Daggers Dual Blades Esperanza Edge Long Sword Esperanza Glaive Insect Glaive Esperanza Gunlance Gunlance Esperanza Hammer Hammer Esperanza Horn Hunting Horn Esperanza Lance Lance Esperanza Strongarm Charge Blade Esperanza Sword Sword and Shield G Glass Royale Hunting Horn Grinder Jewel II [2] Weapon Decorations Grinder Jewel [1] Weapon Decorations Grinder/Attack Jewel [3] Weapon Decorations Grinder/Draw Jewel [3] Weapon Decorations Grinder/Expert Jewel [3] Weapon Decorations Grinder/Handicraft Jwl [3] Weapon Decorations Grinder/Ironwall Jewel [3] Weapon Decorations Grinder/KO Jewel [3] Weapon Decorations H Hope Axe II Switch Axe Hope Axe III Switch Axe Hope Axe IV Switch Axe Hope Axe V Switch Axe Hope Blade II Great Sword Hope Blade III Great Sword Hope Blade IV Great Sword Hope Blade V Great Sword Hope Daggers II Dual Blades Hope Daggers III Dual Blades Hope Daggers IV Dual Blades Hope Daggers V Dual Blades Hope Edge II Long Sword Hope Edge III Long Sword Hope Edge IV Long Sword Hope Edge V Long Sword Hope Glaive II Insect Glaive Hope Glaive III Insect Glaive Hope Glaive IV Insect Glaive Hope Glaive V Insect Glaive Hope Gunlance II Gunlance Hope Gunlance III Gunlance Hope Gunlance IV Gunlance Hope Gunlance V Gunlance Hope Hammer II Hammer Hope Hammer III Hammer Hope Hammer IV Hammer Hope Hammer V Hammer Hope Horn II Hunting Horn Hope Horn III Hunting Horn Hope Horn IV Hunting Horn Hope Horn V Hunting Horn Hope Lance II Lance Hope Lance III Lance Hope Lance IV Lance Hope Lance V Lance Hope Strongarm II Charge Blade Hope Strongarm III Charge Blade Hope Strongarm IV Charge Blade Hope Strongarm V Charge Blade Hope Sword II Sword and Shield Hope Sword III Sword and Shield Hope Sword IV Sword and Shield Hope Sword V Sword and Shield N Nu Krake I Great Sword Nu Krake II Great Sword Nu Pulpo I Hammer Nu Pulpo II Hammer P Paretic Blade I Great Sword Paretic Blade II Great Sword Paretic Blade III Great Sword Paretic Blade IV Great Sword S Sonic Horn II Hunting Horn Sonic Horn III Hunting Horn Sonic Horn IV Hunting Horn W War Bongo II Hunting Horn War Conga Hunting Horn","2",""
"","Spread/Power Shots","","Slightly increases the power of specified ammo and arrows.","","","","","","","","Spread Jewel [3] Weapon Decorations","1",""
"","Stamina Surge","","Stamina recovery speed +10%","Stamina recovery speed +30%","Stamina recovery speed +50%","","","","","","Balahara Mail α Chest Balahara Vambraces α Arms Balahara α Armor Sets Battle Helm α Head Battle α Armor Sets Dober Helm α Head Dober Vambraces α Arms Dober α Armor Sets Doshaguma Braces α Arms Doshaguma Braces β Arms Doshaguma Mail α Chest Doshaguma α Armor Sets Doshaguma β Armor Sets G. Fulgur Coil α Waist G. Fulgur Coil β Waist G. Fulgur Greaves α Legs G. Fulgur Greaves β Legs Guardian Fulgur α Armor Sets Guardian Fulgur β Armor Sets Gypceros Coil α Waist Gypceros Coil β Waist Gypceros Helm α Head Gypceros Helm β Head Gypceros Mail α Chest Gypceros Mail β Chest Gypceros α Armor Sets Gypceros β Armor Sets Refresh Jewel [2] Armor Decorations Rey Dau α Armor Sets Rey Dau β Armor Sets Rey Sandcoil α Waist Rey Sandcoil β Waist Rey Sandmail α Chest Rey Sandmail β Chest Surge Charm I Level 1 Surge Charm II Level 2 Surge Charm III Level 3 Xu Wu Armor Sets Xu Wu Coil Waist Xu Wu Greaves Legs Xu Wu Mail Chest","3",""
"","Stamina Thief","","Exhaust power +20%","Exhaust power +30%","Exhaust power +40%","","","","","","Binder Mace Hammer Bone Horn I Hunting Horn Bone Horn II Hunting Horn Bone Horn III Hunting Horn Bone Horn IV Hunting Horn Bone Kukri I Sword and Shield Bone Kukri II Sword and Shield Bone Kukri III Sword and Shield Bone Kukri IV Sword and Shield Chata Clobberer II Hammer Chata Clobberer III Hammer Chata Clobberer IV Hammer Chief Kukri Sword and Shield Dosha Fearbringer I Bow Dosha Fearbringer II Bow Dosha Fearbringer III Bow Dosha Grudgesounder I Hunting Horn Dosha Grudgesounder II Hunting Horn Drain Jewel II [2] Weapon Decorations Drain Jewel III [3] Weapon Decorations Drain Jewel [1] Weapon Decorations Fearbringer Callistox Bow Grudgesounder Urga Hunting Horn Hardened Bone Horn Hunting Horn Jail Hammer I Hammer Jail Hammer II Hammer Jail Hammer III Hammer Jail Hammer IV Hammer Kae-Jin's Lament Hunting Horn Kut-Ku Cantabile Hunting Horn Kut-Ku's Song I Hunting Horn Kut-Ku's Song II Hunting Horn Nihil Chord I Hunting Horn Nihil Chord II Hunting Horn Perun Clairhorn Hunting Horn Rey Perun I Hunting Horn Rey Perun II Hunting Horn Rey Perun III Hunting Horn Shrouded Aghaturi Hammer","3",""
"","Stench Resistance","","Reduces stench duration by 50%.","Prevents stench.","","","","","","","Conga Armor Sets Conga Coil Waist Conga Vambraces Arms Perfume Jewel [1] Armor Decorations","2",""
"","Stun Resistance","","Reduces the duration of stun by 30%.","Reduces the duration of stun by 60%.","Prevents stun.","","","","","","Bone Armor Sets Bone Greaves Legs Bone Greaves α Legs Bone Helm α Head Bone Mail α Chest Bone Vambraces Arms Bone α Armor Sets Death Stench Heel α Legs Death Stench α Armor Sets Doshaguma Braces α Arms Doshaguma Braces β Arms Doshaguma Helm α Head Doshaguma Helm β Head Doshaguma α Armor Sets Doshaguma β Armor Sets High Metal Helm α Head High Metal α Armor Sets Hope Armor Sets Hope Coil Waist Hope Coil α Waist Hope Greaves α Legs Hope Mask Head Hope α Armor Sets Ingot Armor Sets Ingot Vambraces Arms Ingot Vambraces α Arms Ingot α Armor Sets Rey Dau α Armor Sets Rey Dau β Armor Sets Rey Sandbraces α Arms Rey Sandcoil α Waist Rey Sandcoil β Waist Steadfast Jewel [1] Armor Decorations Stun Charm I Level 1 Stun Charm II Level 2 Stun Charm III Level 3","3",""
"","Survival Expert","","Restores 50 health.","Restores 80 health.","Restores 100 health.","","","","","","G. Rathalos Helm α Head G. Rathalos Vambraces α Arms Guardian Rathalos α Armor Sets Melahoa Hat α Head Melahoa α Armor Sets Survival Charm I Level 1 Survival Charm II Level 2 Survival Charm III Level 3 Survival Jewel [1] Armor Decorations Vespoid Armor Sets Vespoid Greaves Legs Vespoid Greaves α Legs Vespoid Greaves β Legs Vespoid Helm Head Vespoid Helm α Head Vespoid Helm β Head Vespoid Mail Chest Vespoid Mail α Chest Vespoid Mail β Chest Vespoid α Armor Sets Vespoid β Armor Sets","3",""
"","Swimmer Meal","Food Skills in Monster Hunter Wilds can apply a wide variety…","Increases attack when wet.","","","","","","","","","","Jeweled Mullet Roe Ingredients"
"","Tetrad Shot","","Slightly increases the attack power and affinity of ammo after…","Moderately increases attack power and affinity of ammo after…","Increases the attack power and affinity of ammo after certain…","","","","","","A Aeternal Palamedes Heavy Bowgun B Bandolier Jewel II [2] Weapon Decorations Bandolier Jewel III [3] Weapon Decorations Bandolier Jewel [1] Weapon Decorations Bandolier/Blaze Jwl [3] Weapon Decorations Bandolier/Bolt Jwl [3] Weapon Decorations Bandolier/Dragon Jwl [3] Weapon Decorations Bandolier/Frost Jwl [3] Weapon Decorations Bandolier/Ironwall Jwl [3] Weapon Decorations Bandolier/Precise Jwl [3] Weapon Decorations Bandolier/Stream Jwl [3] Weapon Decorations Bequeathed Animus Light Bowgun Blan Sharanga I Bow C Chain Blitz I Light Bowgun Chain Blitz II Light Bowgun Chain Blitz III Light Bowgun Chthonian Gunfire I Light Bowgun Chthonian Gunfire II Light Bowgun D Dalgap-of-the-Waves Heavy Bowgun Dragon Perforator I Bow Dragon Perforator II Bow Dragon Perforator III Bow G G. Aeternal Palamedes Heavy Bowgun G. Veldian Tormentum I Heavy Bowgun G. Veldian Tormentum II Heavy Bowgun H High Chain Blitz Light Bowgun I Iron Assault I Heavy Bowgun Iron Assault II Heavy Bowgun Iron Assault III Heavy Bowgun K Khviluk-of-the-Waves Bow Q Queen Blaster I Bow Queen Blaster II Bow Queen's Farflier Heavy Bowgun Queen's Longfire I Heavy Bowgun Queen's Longfire II Heavy Bowgun Queen's Melody Bow S Singha Sharanga Bow Steel Assault Heavy Bowgun T True Dragon Perforator Bow U Uth Dalgap I Heavy Bowgun Uth Dalgap II Heavy Bowgun Uth Dalgap III Heavy Bowgun Uth Khviluk I Bow Uth Khviluk II Bow Uth Khviluk III Bow V Valkyrie Fire I Light Bowgun Valkyrie Fire II Light Bowgun Valkyrie Flame Light Bowgun Veldian Tormentum I Heavy Bowgun W Windshear Light I Light Bowgun Windshear Light II Light Bowgun Windshear Light III Light Bowgun Windshear Uchibami Light Bowgun","3",""
"","Thunder Attack","","Thunder attack +40","Thunder attack +10% Bonus: +50","Thunder attack +20% Bonus: +60","","","","","","Bolt Jewel II [2] Weapon Decorations Bolt Jewel III [3] Weapon Decorations Bolt Jewel [1] Weapon Decorations Bolt/Bandolier Jwl [3] Weapon Decorations Bolt/Crit Elem Jwl [3] Weapon Decorations Bolt/Enhancer Jwl [3] Weapon Decorations Bolt/Focus Jewel [3] Weapon Decorations Bolt/Guardian Jwl [3] Weapon Decorations Bolt/Handicraft Jwl [3] Weapon Decorations Bolt/Ironwall Jewel [3] Weapon Decorations Bolt/KO Jewel [3] Weapon Decorations Bolt/Opener Jewel [3] Weapon Decorations Bolt/Precise Jewel [3] Weapon Decorations Bolt/Quickswitch Jwl [3] Weapon Decorations Bolt/Rzr Sharp Jwl [3] Weapon Decorations Bolt/Shield Jewel [3] Weapon Decorations","3",""
,,,,,,,,,,,,,
"","Thunder Resistance","","Thunder resistance +6","Thunder resistance +12","Thunder resistance +20 Defense +10","","","","","","Thunder Charm I Level 1 Thunder Charm II Level 2 Thunder Charm III Level 3 Thunder Res Jewel [1] Armor Decorations","3",""
"","Tool Specialist","","Shortens recharge time by 10%.","Shortens recharge time by 20%.","Shortens recharge time by 30%.","Shortens recharge time by 40%.","Shortens recharge time by 50%.","","","","Commission Coil α Waist Commission α Armor Sets Duna Coil Waist Duna Helm Head Duna Vambraces Arms Duna Wildgreaves α Legs Duna Wildhelm α Head Duna Wildhelm β Head Duna Wildmail α Chest Duna Wildmail β Chest Maintenance Charm I Level 1 Maintenance Charm II Level 2 Maintenance Charm III Level 3 Maintenance Jewel [2] Armor Decorations Melahoa Jacket α Chest Melahoa α Armor Sets Rathian Coil α Waist Rathian α Armor Sets Uth Duna Armor Sets Uth Duna α Armor Sets Uth Duna β Armor Sets","5",""
"","Top Cat Meal","Food Skills in Monster Hunter Wilds can apply a wide variety…","","","","","","","","","","",""
"","Trainer Meal","Food Skills in Monster Hunter Wilds can apply a wide variety…","","","","","","","","","","",""
"","Tremor Resistance","","Nullifies very minor ground tremors and halves effects of minor…","Nullifies up to minor ground tremors and greatly reduces the…","Nullifies all ground tremors.","","","","","","Alloy Armor Sets Alloy Coil Waist Alloy Coil α Waist Alloy Mail Chest Alloy Vambraces Arms Alloy Vambraces α Arms Alloy α Armor Sets Artian Greaves α Legs Artian α Armor Sets Dahaad Shardcoil α Waist Dahaad Shardcoil β Waist Dahaad Shardgreaves α Legs Dahaad α Armor Sets Dahaad β Armor Sets Footing Jewel [1] Armor Decorations Gravios Greaves α Legs Gravios Greaves β Legs Gravios Helm α Head Gravios α Armor Sets Gravios β Armor Sets Tremor Charm I Level 1 Tremor Charm II Level 2 Tremor Charm III Level 3","3",""
"","Tumbler Meal (Hi)","Food Skills in Monster Hunter Wilds can apply a wide variety…","Extends the invulnerability period when evading.","","","","","","","","","","Turbid Shrimp Ingredients"
"","Tumbler Meal (Lo)","Food Skills in Monster Hunter Wilds can apply a wide variety…","Slightly extends the invulnerability period when evading.","","","","","","","","","","Mud Shrimp Ingredients"
"","Uth Duna's Cover","","Increases defense temporarily when using a specialized tool.…","Greatly increases defense and resistance temporarily when using…","","","","","","","Duna Coil Waist Duna Greaves Legs Duna Helm Head Duna Mail Chest Duna Vambraces Arms Duna Wildbraces α Arms Duna Wildbraces β Arms Duna Wildcoil α Waist Duna Wildcoil β Waist Duna Wildgreaves α Legs Duna Wildgreaves β Legs Duna Wildhelm α Head Duna Wildhelm β Head Duna Wildmail α Chest Duna Wildmail β Chest Uth Duna Armor Sets Uth Duna α Armor Sets Uth Duna β Armor Sets","2",""
"","Water Attack","","Water attack +40","Water attack +10% Bonus: +50","Water attack +20% Bonus: +60","","","","","","Stream Jewel II [2] Weapon Decorations Stream Jewel III [3] Weapon Decorations Stream Jewel [1] Weapon Decorations Stream/Bandolier Jwl [3] Weapon Decorations Stream/Crit Elem Jwl [3] Weapon Decorations Stream/Enhancer Jwl [3] Weapon Decorations Stream/Focus Jewel [3] Weapon Decorations Stream/Guardian Jwl [3] Weapon Decorations Stream/Handicraft Jwl [3] Weapon Decorations Stream/Ironwall Jwl [3] Weapon Decorations Stream/KO Jewel [3] Weapon Decorations Stream/Opener Jwl [3] Weapon Decorations Stream/Precise Jewel [3] Weapon Decorations Stream/Quickswitch Jwl [3] Weapon Decorations Stream/Rzr Sharp Jwl [3] Weapon Decorations Stream/Shield Jewel [3] Weapon Decorations","3",""
"","Water Resistance","","Water resistance +6","Water resistance +12","Water resistance +20 Defense +10","","","","","","Gajau Armor Sets Gajau Boots Legs Gajau Boots α Legs Gajau α Armor Sets Piragill Armor Sets Piragill Greaves Legs Piragill Greaves α Legs Piragill α Armor Sets Water Charm I Level 1 Water Charm II Level 2 Water Charm III Level 3 Water Res Jewel [1] Armor Decorations","3",""
"","Weakness Exploit","","Attacks that hit weak points gain affinity +5%, with an extra…","Attacks that hit weak points gain affinity +10%, with an extra…","Attacks that hit weak points gain affinity +15%, with an extra…","Attacks that hit weak points have 20% increased affinity, with…","Attacks that hit weak points have 30% increased affinity, with…","","","","Arkveld α Armor Sets Arkveld β Armor Sets Arkvulcan Coil α Waist Arkvulcan Coil β Waist Arkvulcan Mail α Chest Arkvulcan Mail β Chest Bulaqchi Specs α Head Bulaqchi α Armor Sets Chatacabra Greaves α Legs Chatacabra Greaves β Legs Chatacabra Mail α Chest Chatacabra α Armor Sets Chatacabra β Armor Sets Dahaad Shardcoil α Waist Dahaad Shardcoil β Waist Dahaad Shardhelm α Head Dahaad α Armor Sets Dahaad β Armor Sets Exploiter Charm I Level 1 Exploiter Charm II Level 2 G. Arkveld Greaves α Legs G. Arkveld Greaves β Legs G. Arkveld Vambraces α Arms G. Arkveld Vambraces β Arms G. Rathalos Coil α Waist G. Rathalos Greaves Legs G. Rathalos Greaves α Legs G. Rathalos Greaves β Legs G. Rathalos Helm Head G. Rathalos Helm α Head G. Rathalos Helm β Head G. Rathalos Mail α Chest G. Rathalos Mail β Chest G. Rathalos Vambraces Arms G. Rathalos Vambraces α Arms G. Rathalos Vambraces β Arms Guardian Arkveld α Armor Sets Guardian Arkveld β Armor Sets Guardian Rathalos Armor Sets Guardian Rathalos α Armor Sets Guardian Rathalos β Armor Sets Nerscylla Mail α Chest Nerscylla α Armor Sets Tenderizer Jewel [3] Armor Decorations","5",""
"","Wide-Range","","Items affect nearby allies with 33% of their efficacy.","Items affect nearby allies in a wider radius with 33% of their…","Items affect nearby allies in a wider radius with 66% of their…","Items affect nearby allies in a much wider radius with 66% of…","Items affect nearby allies in a much wider radius with full efficacy.…","","","","Blango Coil α Waist Blango Helm α Head Blango Helm β Head Blango α Armor Sets Blango β Armor Sets Chatacabra Helm α Head Chatacabra Vambraces α Arms Chatacabra α Armor Sets Damascus Coil α Waist Damascus Greaves α Legs Damascus Helm α Head Damascus Mail α Chest Damascus Vambraces α Arms Damascus α Armor Sets Friendship Charm I Level 1 Friendship Charm II Level 2 Friendship Charm III Level 3 Friendship Charm IV Level 4 Friendship Jewel [1] Armor Decorations Kunafa Chaps α Legs Kunafa Headgear α Head Kunafa α Armor Sets Rompopolo Armor Sets Rompopolo Coil Waist Rompopolo Coil α Waist Rompopolo Greaves Legs Rompopolo Greaves α Legs Rompopolo Greaves β Legs Rompopolo Helm Head Rompopolo Helm α Head Rompopolo Helm β Head Rompopolo Mail Chest Rompopolo Mail α Chest Rompopolo Vambraces Arms Rompopolo α Armor Sets Rompopolo β Armor Sets Sild Coat α Chest Sild α Armor Sets","5",""
,,,,,,,,,,,,,
"","Windproof","","Negates minor wind pressure and halves the effects of major wind…","Negates minor and major wind pressure and halves the effects…","Negates all kinds of wind pressure.","","","","","","Artian Coil α Waist Artian α Armor Sets G. Rathalos Coil α Waist G. Rathalos Coil β Waist G. Rathalos Greaves α Legs G. Rathalos Greaves β Legs Guardian Rathalos α Armor Sets Guardian Rathalos β Armor Sets Ingot Armor Sets Ingot Greaves Legs Ingot Greaves α Legs Ingot Mail Chest Ingot Mail α Chest Ingot α Armor Sets Nu Udra α Armor Sets Nu Udra β Armor Sets Udra Miregreaves α Legs Udra Miregreaves β Legs Wind Resist Jewel [1] Armor Decorations Windproof Charm I Level 1 Windproof Charm II Level 2 Windproof Charm III Level 3","3",""
"","Xu Wu's Vigor","","Temporarily grants attack +15 after eating items such as well-done…","Temporarily grants attack +25 after eating items such as well-done…","","","","","","","Xu Wu Coil α Waist Xu Wu Coil β Waist Xu Wu Greaves α Legs Xu Wu Greaves β Legs Xu Wu Helm α Head Xu Wu Helm β Head Xu Wu Mail α Chest Xu Wu Mail β Chest Xu Wu Vambraces α Arms Xu Wu Vambraces β Arms Xu Wu α Armor Sets Xu Wu β Armor Sets","2",""
