"Title","ArmorSet","Rarity","Price","Skills","Slot1","Slot2","Slot3","DefensiveStats","ForgingMaterials","UnlockRequirements"
"Leather Mail α","Leather α Armor Sets","Rarity 5","2,500 z","Botanist Item Prolonger","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Guardian Pelt 1× Machalite Ore","Lured by Abundance Assignments"
"Leather Pants","Leather Armor Sets","Rarity 1","100 z","Botanist","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","",""
"Leather Pants α","Leather α Armor Sets","Rarity 5","2,500 z","Hunger Resistance Item Prolonger","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Guardian Pelt 1× Machalite Ore","Lured by Abundance Assignments"
"Leather Vest","Leather Armor Sets","Rarity 1","100 z","Botanist","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","",""
"Melahoa Branch α","Melahoa α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Recovery Speed Paralysis Resistance","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Great Hibiscus 1× Guardian Seikret Feather+ 1× Lightcrystal","Great Hibiscus"
"Melahoa Folia α","Melahoa α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Recovery Up Bleeding Resistance","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Great Hibiscus 1× Guardian Seikret Feather+ 1× Lightcrystal","Great Hibiscus"
"Melahoa Hat α","Melahoa α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Survival Expert Poison Resistance","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Great Hibiscus 1× Guardian Seikret Feather+ 1× Lightcrystal","Great Hibiscus"
"","","","","","","","","","",""
"Melahoa Jacket α","Melahoa α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Tool Specialist","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Great Hibiscus 1× Guardian Seikret Feather+ 1× Lightcrystal","Great Hibiscus"
"Melahoa Roots α","Melahoa α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Mushroomancer","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Great Hibiscus 1× Guardian Seikret Feather+ 1× Novacrystal","Great Hibiscus"
"Mimiphyta α","Mimiphyta α Armor Sets","Rarity 5","3,000 z","Fortifying Pelt Entomologist Ambush","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Mimiphyta Ticket 4× Kut-Ku Scale+ 2× Congalala Pelt+","Mimiphyta Ticket"
"Nerscylla Coil","Nerscylla Large Monsters","Rarity 3","500 z","Neopteron Alert Bind Resistance Sleep Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Nerscylla Chelicera 1× Nerscylla Spike 1× Rubbery Hide","Nerscylla"
"Nerscylla Coil α","Nerscylla α Armor Sets","Rarity 5","3,500 z","Neopteron Alert Bind Resistance Sleep Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Nerscylla Certificate S 2× Nerscylla Claw+ 2× Nerscylla Spike+ 2× Comaqchi Carapace","Nerscylla Carapace"
"Nerscylla Coil β","Nerscylla β Armor Sets","Rarity 5","3,500 z","Neopteron Camouflage Bind Resistance","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Nerscylla Certificate S 2× Nerscylla Claw+ 2× Nerscylla Spike+ 2× Comaqchi Carapace","Nerscylla Carapace"
"Nerscylla Greaves","Nerscylla Large Monsters","Rarity 3","500 z","Neopteron Alert Ambush","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Nerscylla Shell 1× Nerscylla Chelicera","Nerscylla"
"Nerscylla Greaves α","Nerscylla α Armor Sets","Rarity 5","3,500 z","Neopteron Alert Ambush Sleep Resistance","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Nerscylla Certificate S 1× Nerscylla Spike+ 2× Rubbery Hide+ 1× Coma Sac","Nerscylla Carapace"
"Nerscylla Greaves β","Nerscylla β Armor Sets","Rarity 5","3,500 z","Neopteron Camouflage Sleep Resistance","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Nerscylla Certificate S 1× Nerscylla Spike+ 2× Rubbery Hide+ 1× Coma Sac","Nerscylla Carapace"
"Nerscylla Helm","Nerscylla Large Monsters","Rarity 3","500 z","Neopteron Alert Ambush","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Nerscylla Certificate 1× Rubbery Hide 1× Nerscylla Chelicera 1× Sleep Sac","Nerscylla"
"Nerscylla Helm α","Nerscylla α Armor Sets","Rarity 5","3,500 z","Neopteron Alert Bind Resistance Poison Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Nerscylla Carapace 1× Nerscylla Shear 2× Monster Broth","Nerscylla Carapace"
"Nerscylla Helm β","Nerscylla β Armor Sets","Rarity 5","3,500 z","Neopteron Camouflage Bind Resistance","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Nerscylla Carapace 1× Nerscylla Shear 2× Monster Broth","Nerscylla Carapace"
"","","","","","","","","","",""
"Nerscylla Mail","Nerscylla Large Monsters","Rarity 3","500 z","Neopteron Alert Bind Resistance Poison Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Nerscylla Claw 1× Nerscylla Spike","Nerscylla"
"Nerscylla Mail α","Nerscylla α Armor Sets","Rarity 5","3,500 z","Neopteron Alert Ambush Weakness Exploit","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Nerscylla Certificate S 1× Nerscylla Shear 2× Nerscylla Claw+ 1× Bird Wyvern Gem","Nerscylla Carapace"
"Nerscylla Mail β","Nerscylla β Armor Sets","Rarity 5","3,500 z","Neopteron Camouflage Ambush","1","1","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Nerscylla Certificate S 1× Nerscylla Shear 2× Nerscylla Claw+ 1× Bird Wyvern Gem","Nerscylla Carapace"
"Nerscylla Vambraces","Nerscylla Large Monsters","Rarity 3","500 z","Neopteron Alert Ambush","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Nerscylla Shell 1× Nerscylla Claw 1× Nerscylla Spike","Nerscylla"
"Nerscylla Vambraces α","Nerscylla α Armor Sets","Rarity 5","3,500 z","Neopteron Alert Ambush Poison Resistance","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","3× Nerscylla Carapace 3× Nerscylla Claw+ 1× Nerscylla Shear 1× Nerscylla Spike+","Nerscylla Carapace"
"Nerscylla Vambraces β","Nerscylla β Armor Sets","Rarity 5","3,500 z","Neopteron Camouflage Ambush","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","3× Nerscylla Carapace 3× Nerscylla Claw+ 1× Nerscylla Shear 1× Nerscylla Spike+","Nerscylla Carapace"
"Piragill Greaves","Piragill Small Monsters","Rarity 1","200 z","Flexible Leathercraft Water Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Piragill Fin 1× Machalite Ore","Piragill Small Monsters"
"Piragill Greaves α","Piragill α Armor Sets","Rarity 5","2,500 z","Flexible Leathercraft Aquatic/Oilsilt Mobility Water Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","3× Piragill Fin+ 2× Carbalite Ore","Lured by Abundance Assignments"
"Piragill Greaves β","Piragill β Armor Sets","Rarity 5","2,500 z","Buttery Leathercraft Aquatic/Oilsilt Mobility","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","3× Piragill Fin+ 2× Carbalite Ore","Lured by Abundance Assignments"
"Quematrice Braces","Quematrice Large Monsters","Rarity 1","200 z","Scaling Prowess Flinch Free","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Quematrice Scale 1× Quematrice Igniter","Quematrice"
"Quematrice Braces α","Quematrice α Armor Sets","Rarity 5","3,000 z","Scaling Prowess Flinch Free Fire Resistance","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","3× Quematrice Scale+ 3× Quematrice Hide+ 1× Quematrice Igniter+ 1× Quematrice Crest+","Lured by Abundance Assignments"
"Quematrice Braces β","Quematrice β Armor Sets","Rarity 5","3,000 z","Scale Layering Flinch Free","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","3× Quematrice Scale+ 3× Quematrice Hide+ 1× Quematrice Igniter+ 1× Quematrice Crest+","Lured by Abundance Assignments"
"","","","","","","","","","",""
"Quematrice Coil","Quematrice Large Monsters","Rarity 1","200 z","Scaling Prowess Fire Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Quematrice Hide 1× Quematrice Crest","Quematrice"
"Quematrice Coil α","Quematrice α Armor Sets","Rarity 5","3,000 z","Scaling Prowess Fire Resistance Latent Power","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Quematrice Certificate S 2× Quematrice Hide+ 1× Quematrice Crest+","Lured by Abundance Assignments"
"Quematrice Coil β","Quematrice β Armor Sets","Rarity 5","3,000 z","Scale Layering Fire Resistance","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Quematrice Certificate S 2× Quematrice Hide+ 1× Quematrice Crest+","Lured by Abundance Assignments"
"Quematrice Greaves","Quematrice Large Monsters","Rarity 1","200 z","Scaling Prowess Flinch Free","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Quematrice Scale 2× Quematrice Hide 1× Quematrice Crest","Quematrice"
"Quematrice Greaves α","Quematrice α Armor Sets","Rarity 5","3,000 z","Scaling Prowess Flinch Free Evade Extender","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","3× Quematrice Scale+ 1× Quematrice Igniter+ 1× Monster Keenbone","Lured by Abundance Assignments"
"Quematrice Greaves β","Quematrice β Armor Sets","Rarity 5","3,000 z","Scale Layering Flinch Free","1","1","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","3× Quematrice Scale+ 1× Quematrice Igniter+ 1× Monster Keenbone","Lured by Abundance Assignments"
"Quematrice Helm","Quematrice Large Monsters","Rarity 1","200 z","Scaling Prowess Flinch Free","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Quematrice Certificate 1× Quematrice Tail 1× Quematrice Igniter 1× Iron Ore","Quematrice"
"Quematrice Helm α","Quematrice α Armor Sets","Rarity 5","3,000 z","Scaling Prowess Flinch Free Latent Power","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Quematrice Certificate S 2× Quematrice Igniter+ 2× Quematrice Hide+ 1× Quality Bone","Lured by Abundance Assignments"
"Quematrice Helm β","Quematrice β Armor Sets","Rarity 5","3,000 z","Scale Layering Latent Power","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Quematrice Certificate S 2× Quematrice Igniter+ 2× Quematrice Hide+ 1× Quality Bone","Lured by Abundance Assignments"
"Quematrice Mail","Quematrice Large Monsters","Rarity 1","200 z","Scaling Prowess Fire Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Quematrice Igniter 1× Quematrice Crest 1× Quematrice Tail","Quematrice"
"Quematrice Mail α","Quematrice α Armor Sets","Rarity 5","3,000 z","Scaling Prowess Fire Resistance Latent Power","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Quematrice Certificate S 1× Quematrice Crest+ 1× Quematrice Tail 1× Firestone","Lured by Abundance Assignments"
"Quematrice Mail β","Quematrice β Armor Sets","Rarity 5","3,000 z","Scale Layering Latent Power","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Quematrice Certificate S 1× Quematrice Crest+ 1× Quematrice Tail 1× Firestone","Lured by Abundance Assignments"
"Rathalos Coil α","Rathalos α Armor Sets","Rarity 6","5,000 z","Rathalos's Flare Scaling Prowess Adrenaline Rush Evade Window","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Rathalos Certificate S 3× Rathalos Carapace 1× Rath Medulla 2× Firestone","Rathalos"
"Rathalos Coil β","Rathalos β Armor Sets","Rarity 6","5,000 z","Rathalos's Flare Scale Layering Adrenaline Rush","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Rathalos Certificate S 3× Rathalos Carapace 1× Rath Medulla 2× Firestone","Rathalos"
"Rathalos Greaves α","Rathalos α Armor Sets","Rarity 6","5,000 z","Rathalos's Flare Scaling Prowess Evade Window Adrenaline Rush","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Rathalos Certificate S 5× Rathalos Carapace 4× Rathalos Wing 2× Wingdrake Hide+","Rathalos"
"Rathalos Greaves β","Rathalos β Armor Sets","Rarity 6","5,000 z","Rathalos's Flare Scale Layering Evade Window","2","2","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Rathalos Certificate S 5× Rathalos Carapace 4× Rathalos Wing 2× Wingdrake Hide+","Rathalos"
"Rathalos Helm α","Rathalos α Armor Sets","Rarity 6","5,000 z","Rathalos's Flare Scaling Prowess Evade Window Constitution","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Rathalos Scale+ 3× Rathalos Wing 3× Monster Keenbone","Rathalos"
"Rathalos Helm β","Rathalos β Armor Sets","Rarity 6","5,000 z","Rathalos's Flare Scale Layering Evade Window Constitution","2","2","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Rathalos Scale+ 3× Rathalos Wing 3× Monster Keenbone","Rathalos"
"Rathalos Mail α","Rathalos α Armor Sets","Rarity 6","5,000 z","Rathalos's Flare Scaling Prowess Adrenaline Rush Constitution","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","6× Rathalos Scale+ 6× Rathalos Carapace 2× Rathalos Tail 1× Dragonbone Relic","Rathalos"
"Rathalos Mail β","Rathalos β Armor Sets","Rarity 6","5,000 z","Rathalos's Flare Scale Layering Adrenaline Rush","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","6× Rathalos Scale+ 6× Rathalos Carapace 2× Rathalos Tail 1× Dragonbone Relic","Rathalos"
"Rathalos Vambraces α","Rathalos α Armor Sets","Rarity 6","5,000 z","Rathalos's Flare Scaling Prowess Constitution Evade Window","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Rathalos Certificate S 4× Rathalos Scale+ 1× Rathalos Ruby 3× Inferno Sac","Rathalos"
"Rathalos Vambraces β","Rathalos β Armor Sets","Rarity 6","5,000 z","Rathalos's Flare Scale Layering Constitution","2","1","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Rathalos Certificate S 4× Rathalos Scale+ 1× Rathalos Ruby 3× Inferno Sac","Rathalos"
"Rathian Coil α","Rathian α Armor Sets","Rarity 5","3,500 z","Scaling Prowess Foray Tool Specialist","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Rathian Certificate S 1× Rathian Carapace 1× Rath Medulla","Rathian Scale+"
"Rathian Coil β","Rathian β Armor Sets","Rarity 5","3,500 z","Scale Layering Foray","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Rathian Certificate S 1× Rathian Carapace 1× Rath Medulla","Rathian Scale+"
"","","","","","","","","","",""
"Rathian Greaves α","Rathian α Armor Sets","Rarity 5","3,500 z","Scaling Prowess Foray Recovery Speed","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Rathian Certificate S 2× Rathian Carapace 2× Rathian Webbing 1× Dragonbone Relic","Rathian Scale+"
"Rathian Greaves β","Rathian β Armor Sets","Rarity 5","3,500 z","Scale Layering Foray Recovery Speed","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Rathian Certificate S 2× Rathian Carapace 2× Rathian Webbing 1× Dragonbone Relic","Rathian Scale+"
"Rathian Helm α","Rathian α Armor Sets","Rarity 5","3,500 z","Scaling Prowess Divine Blessing Recovery Speed","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Rathian Scale+ 2× Rathian Webbing 2× Monster Keenbone","Rathian Scale+"
"Rathian Helm β","Rathian β Armor Sets","Rarity 5","3,500 z","Scale Layering Divine Blessing","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Rathian Scale+ 2× Rathian Webbing 2× Monster Keenbone","Rathian Scale+"
"Rathian Mail α","Rathian α Armor Sets","Rarity 5","3,500 z","Scaling Prowess Foray","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Rathian Certificate S 2× Rathian Scale+ 1× Rathian Ruby","Rathian Scale+"
"Rathian Mail β","Rathian β Armor Sets","Rarity 5","3,500 z","Scale Layering Foray","1","1","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Rathian Certificate S 2× Rathian Scale+ 1× Rathian Ruby","Rathian Scale+"
"Rathian Vambraces α","Rathian α Armor Sets","Rarity 5","3,500 z","Scaling Prowess Foray Divine Blessing","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","3× Rathian Scale+ 3× Rathian Carapace 2× Rathian Spike+ 2× Toxin Sac","Rathian Scale+"
"Rathian Vambraces β","Rathian β Armor Sets","Rarity 5","3,500 z","Scale Layering Foray Divine Blessing","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","3× Rathian Scale+ 3× Rathian Carapace 2× Rathian Spike+ 2× Toxin Sac","Rathian Scale+"
"Rey Sandbraces","Rey Dau Large Monsters","Rarity 4","1,000 z","Rey Dau's Voltage Lord's Favor Latent Power","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Rey Dau Wingtalon 1× Rey Dau Thunderhorn 1× Rey Dau Tail 1× Guardian Scale","Repel the Guardian Arkveld Assignments"
"Rey Sandbraces α","Rey Dau α Armor Sets","Rarity 7","7,000 z","Rey Dau's Voltage Lord's Favor Latent Power Stun Resistance","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Rey Dau Certificate S 2× Rey Dau Fulgurtalon 3× Rey Dau Scale+ 1× Rey Dau Boltgem","Rey Dau Scale+"
"Rey Sandbraces β","Rey Dau β Armor Sets","Rarity 7","7,000 z","Rey Dau's Voltage Lord's Fury Latent Power","3","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Rey Dau Certificate S 2× Rey Dau Fulgurtalon 3× Rey Dau Scale+ 1× Rey Dau Boltgem","Rey Dau Scale+"
"Rey Sandcoil","Rey Dau Large Monsters","Rarity 4","1,000 z","Rey Dau's Voltage Lord's Favor Constitution","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Rey Dau Shell 1× Rey Dau Thunderhorn 1× Guardian Pelt 1× Wingdrake Hide","Repel the Guardian Arkveld Assignments"
"","","","","","","","","","",""
"Rey Sandcoil α","Rey Dau α Armor Sets","Rarity 7","7,000 z","Rey Dau's Voltage Lord's Favor Stamina Surge Stun Resistance","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Rey Dau Scale+ 6× Rey Dau Carapace 3× Rey Dau Fulgurtalon 3× Monster Hardbone","Rey Dau Scale+"
"Rey Sandcoil β","Rey Dau β Armor Sets","Rarity 7","7,000 z","Rey Dau's Voltage Lord's Fury Stamina Surge Stun Resistance","3","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Rey Dau Scale+ 6× Rey Dau Carapace 3× Rey Dau Fulgurtalon 3× Monster Hardbone","Rey Dau Scale+"
"Rey Sandgreaves","Rey Dau Large Monsters","Rarity 4","1,000 z","Rey Dau's Voltage Lord's Favor Latent Power Constitution","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Rey Dau Certificate 1× Rey Dau Tail 1× Rey Dau Plate 1× Guardian Blood","Repel the Guardian Arkveld Assignments"
"Rey Sandgreaves α","Rey Dau α Armor Sets","Rarity 7","7,000 z","Rey Dau's Voltage Lord's Favor Latent Power Maximum Might","3","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","6× Rey Dau Scale+ 4× Rey Dau Fulgurtalon 3× Rey Dau Bolthorn 3× Lightcrystal","Rey Dau Scale+"
"Rey Sandgreaves β","Rey Dau β Armor Sets","Rarity 7","7,000 z","Rey Dau's Voltage Lord's Fury Latent Power","3","1","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","6× Rey Dau Scale+ 4× Rey Dau Fulgurtalon 3× Rey Dau Bolthorn 3× Lightcrystal","Rey Dau Scale+"
"Rey Sandhelm","Rey Dau Large Monsters","Rarity 4","1,000 z","Rey Dau's Voltage Lord's Favor Latent Power","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Rey Dau Scale 2× Rey Dau Shell 1× Rey Dau Thunderhorn","Rey Dau"
"Rey Sandhelm α","Rey Dau α Armor Sets","Rarity 7","7,000 z","Rey Dau's Voltage Lord's Favor Latent Power Evade Extender","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Rey Dau Certificate S 5× Rey Dau Carapace 4× Rey Dau Bolthorn 2× Bulaqchi Carapace","Rey Dau Scale+"
"Rey Sandhelm β","Rey Dau β Armor Sets","Rarity 7","7,000 z","Rey Dau's Voltage Lord's Fury Latent Power Evade Extender","3","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Rey Dau Certificate S 5× Rey Dau Carapace 4× Rey Dau Bolthorn 2× Bulaqchi Carapace","Rey Dau Scale+"
"Rey Sandmail","Rey Dau Large Monsters","Rarity 4","1,000 z","Rey Dau's Voltage Lord's Favor Constitution","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Rey Dau Scale 1× Rey Dau Wingtalon","Rey Dau"
"Rey Sandmail α","Rey Dau α Armor Sets","Rarity 7","7,000 z","Rey Dau's Voltage Lord's Favor Maximum Might Stamina Surge","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Rey Dau Certificate S 2× Rey Dau Bolthorn 2× Rey Dau Tail 1× Rey Dau Plate","Rey Dau Scale+"
"Rey Sandmail β","Rey Dau β Armor Sets","Rarity 7","7,000 z","Rey Dau's Voltage Lord's Fury Maximum Might Stamina Surge","2","1","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Rey Dau Certificate S 2× Rey Dau Bolthorn 2× Rey Dau Tail 1× Rey Dau Plate","Rey Dau Scale+"
"Rompopolo Coil","Rompopolo Large Monsters","Rarity 3","500 z","Flexible Leathercraft Wide-Range Poison Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Rompopolo Certificate 2× Rompopolo Hide 1× Spotted Poison Hide 1× Dragonite Ore","Rompopolo"
"","","","","","","","","","",""
"Rompopolo Coil α","Rompopolo α Armor Sets","Rarity 5","3,000 z","Flexible Leathercraft Wide-Range Foray","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Rompopolo Certificate S 2× Rompopolo Hide+ 2× Spotted Poison Hide+ 1× Kranodath Skull+","Lured by Abundance Assignments"
"Rompopolo Coil β","Rompopolo β Armor Sets","Rarity 5","3,000 z","Buttery Leathercraft Foray","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Rompopolo Certificate S 2× Rompopolo Hide+ 2× Spotted Poison Hide+ 1× Kranodath Skull+","Lured by Abundance Assignments"
"Rompopolo Greaves","Rompopolo Large Monsters","Rarity 3","500 z","Flexible Leathercraft Wide-Range","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Rompopolo Claw 1× Rompopolo Beak","Rompopolo"
"Rompopolo Greaves α","Rompopolo α Armor Sets","Rarity 5","3,000 z","Flexible Leathercraft Wide-Range Earplugs","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Rompopolo Certificate S 2× Rompopolo Beak+ 1× Toxin Sac","Lured by Abundance Assignments"
"Rompopolo Greaves β","Rompopolo β Armor Sets","Rarity 5","3,000 z","Buttery Leathercraft Wide-Range","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Rompopolo Certificate S 2× Rompopolo Beak+ 1× Toxin Sac","Lured by Abundance Assignments"
"Rompopolo Helm","Rompopolo Large Monsters","Rarity 3","500 z","Flexible Leathercraft Wide-Range","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Rompopolo Hide 1× Rompopolo Claw 1× Rompopolo Beak","Rompopolo"
"Rompopolo Helm α","Rompopolo α Armor Sets","Rarity 5","3,000 z","Flexible Leathercraft Wide-Range","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Rompopolo Certificate S 3× Rompopolo Claw+ 1× Rompopolo Beak+","Lured by Abundance Assignments"
"Rompopolo Helm β","Rompopolo β Armor Sets","Rarity 5","3,000 z","Buttery Leathercraft Wide-Range","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Rompopolo Certificate S 3× Rompopolo Claw+ 1× Rompopolo Beak+","Lured by Abundance Assignments"
"Rompopolo Mail","Rompopolo Large Monsters","Rarity 3","500 z","Flexible Leathercraft Wide-Range","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Rompopolo Hide 1× Spotted Poison Hide","Rompopolo"
"Rompopolo Mail α","Rompopolo α Armor Sets","Rarity 5","3,000 z","Flexible Leathercraft Poison Resistance Wide-Range","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Rompopolo Hide+ 2× Spotted Poison Hide+ 1× Monster Keenbone","Lured by Abundance Assignments"
"Rompopolo Mail β","Rompopolo β Armor Sets","Rarity 5","3,000 z","Buttery Leathercraft Poison Resistance","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Rompopolo Hide+ 2× Spotted Poison Hide+ 1× Monster Keenbone","Lured by Abundance Assignments"
"Rompopolo Vambraces","Rompopolo Large Monsters","Rarity 3","500 z","Flexible Leathercraft Wide-Range Poison Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Spotted Poison Hide 1× Rompopolo Beak 1× Poison Sac","Rompopolo"
"","","","","","","","","","",""
"Rompopolo Vambraces α","Rompopolo α Armor Sets","Rarity 5","3,000 z","Flexible Leathercraft Poison Resistance Earplugs","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Rompopolo Hide+ 2× Rompopolo Claw+ 1× Spotted Poison Hide+ 1× Rompopolo Beak+","Lured by Abundance Assignments"
"Rompopolo Vambraces β","Rompopolo β Armor Sets","Rarity 5","3,000 z","Buttery Leathercraft Earplugs","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Rompopolo Hide+ 2× Rompopolo Claw+ 1× Spotted Poison Hide+ 1× Rompopolo Beak+","Lured by Abundance Assignments"
"Sild Coat α","Sild α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Wide-Range","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Sild Cotton 3× Guardian Seikret Feather+","Sild Cotton"
"Sild Hood α","Sild α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Botanist","2","1","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Sild Cotton 3× Guardian Seikret Feather+","Sild Cotton"
"Suja Sash α","Suja α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Divine Blessing","2","1","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","3× Suja Textiles 5× Fucium Ore","Suja Textiles"
"Talioth Vambraces","Talioth Small Monsters","Rarity 1","100 z","Flexible Leathercraft Leap of Faith","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Talioth Scale 1× Sharp Fang","Talioth Small Monsters"
"Talioth Vambraces α","Talioth α Armor Sets","Rarity 5","2,500 z","Flexible Leathercraft Leap of Faith Burst","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","3× Talioth Scale+ 2× Acute Fang","Lured by Abundance Assignments"
