"Icon","Title","Description","How to Obtain","Defensive Stats","Skills","Forging Materials","Unlock Requirements","Alternative Appearance","Armor Set","Rarity","Price","Slot Level 1","Slot Level 2","Slot Level 3","Skill Details"
"","Balahara Vambraces","Balahara armguards. The spikes are arranged artfully in a way…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Scaling Prowess Group Skills Evade Extender Equipment Skills","1× Balahara Skull Equipment Materials 1× Balahara Tail Equipment Materials 1× Aqua Sac Equipment Materials","Balahara Large Monsters","","Balahara Large Monsters","Rarity 2","400 z","","","","Scaling Prowess Lv1;Evade Extender Lv1"
"","Balahara Vambraces α","Balahara armguards. The spikes are arranged artfully in a way…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Scaling Prowess Group Skills Evade Extender Equipment Skills Stamina Surge Equipment Skills","2× Balahara Scale+ Equipment Materials 2× Balahara Carapace Equipment Materials 1× Balahara Skull+ Equipment Materials 1× Balahara Tail Equipment Materials","Balahara Scale+ Equipment Materials","","Balahara α Armor Sets","Rarity 5","3,500 z","","","","Scaling Prowess Lv1;Evade Extender Lv1;Stamina Surge Lv1"
"","Balahara Vambraces β","Balahara armguards. The spikes are arranged artfully in a way…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Scale Layering Group Skills Evade Extender Equipment Skills","2× Balahara Scale+ Equipment Materials 2× Balahara Carapace Equipment Materials 1× Balahara Skull+ Equipment Materials 1× Balahara Tail Equipment Materials","Balahara Scale+ Equipment Materials","","Balahara β Armor Sets","Rarity 5","3,500 z","2 "" /> 2","","","Scale Layering Lv1;Evade Extender Lv1"
"","Barina Coil","Lala Barina waistgear that nobility would gladly don just to…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Neopteron Alert Group Skills Recovery Up Equipment Skills","1× Lala Barina Mucus Equipment Materials 1× Lala Barina Claw Equipment Materials 1× Lala Barina Stinger Equipment Materials","Lala Barina Large Monsters","","Lala Barina Large Monsters","Rarity 1","200 z","","","","Neopteron Alert Lv1;Recovery Up Lv1"
"","Barina Coil α","Lala Barina waistgear that nobility would gladly don just to…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Neopteron Alert Group Skills Paralysis Resistance Equipment Skills","2× Lala Barina Floret+ Equipment Materials 2× Lala Barina Mucus+ Equipment Materials 2× Carbalite Ore Equipment Materials","Lured by Abundance Assignments","","Lala Barina α Armor Sets","Rarity 5","3,000 z","2 "" /> 2","","","Neopteron Alert Lv1;Paralysis Resistance Lv2"
"","","","","","","","","","","","","","","",""
"","Barina Coil β","Lala Barina waistgear that nobility would gladly don just to…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Neopteron Camouflage Group Skills Paralysis Resistance Equipment Skills","2× Lala Barina Floret+ Equipment Materials 2× Lala Barina Mucus+ Equipment Materials 2× Carbalite Ore Equipment Materials","Lured by Abundance Assignments","","Lala Barina β Armor Sets","Rarity 5","3,000 z","2 "" /> 2","1 "" /> 1","","Neopteron Camouflage Lv1;Paralysis Resistance Lv1"
"","Barina Greaves","Lala Barina leg armor. Pulls the rose motif back in with subtle…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Neopteron Alert Group Skills Recovery Up Equipment Skills","1× Lala Barina Certificate Equipment Materials 2× Lala Barina Floret Equipment Materials 1× Lala Barina Mucus Equipment Materials 1× Monster Fluid Equipment Materials","Lala Barina Large Monsters","","Lala Barina Large Monsters","Rarity 1","200 z","","","","Neopteron Alert Lv1;Recovery Up Lv1"
"","Barina Greaves α","Lala Barina leg armor. Pulls the rose motif back in with subtle…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Neopteron Alert Group Skills Evade Window Equipment Skills Foray Equipment Skills","1× Lala Barina Certificate S Equipment Materials 2× Lala Barina Floret+ Equipment Materials 1× Lala Barina Mucus+ Equipment Materials 1× Novacrystal Equipment Materials","Lured by Abundance Assignments","","Lala Barina α Armor Sets","Rarity 5","3,000 z","","","","Neopteron Alert Lv1;Evade Window Lv1;Foray Lv1"
"","Barina Greaves β","Lala Barina leg armor. Pulls the rose motif back in with subtle…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Neopteron Camouflage Group Skills Evade Window Equipment Skills","1× Lala Barina Certificate S Equipment Materials 2× Lala Barina Floret+ Equipment Materials 1× Lala Barina Mucus+ Equipment Materials 1× Novacrystal Equipment Materials","Lured by Abundance Assignments","","Lala Barina β Armor Sets","Rarity 5","3,000 z","1 "" /> 1","1 "" /> 1","1 "" /> 1","Neopteron Camouflage Lv1;Evade Window Lv1"
"","Barina Headgear","Lala Barina head armor. The rose embellishments were fashioned…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Neopteron Alert Group Skills Paralysis Resistance Equipment Skills","2× Lala Barina Floret Equipment Materials 1× Lala Barina Mucus Equipment Materials","Lala Barina Large Monsters","","Lala Barina Large Monsters","Rarity 1","200 z","","","","Neopteron Alert Lv1;Paralysis Resistance Lv1"
"","Barina Headgear α","Lala Barina head armor. The rose embellishments were fashioned…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Neopteron Alert Group Skills Paralysis Resistance Equipment Skills Foray Equipment Skills","1× Lala Barina Certificate S Equipment Materials 3× Lala Barina Carapace Equipment Materials 2× Lala Barina Claw+ Equipment Materials","Lured by Abundance Assignments","","Lala Barina α Armor Sets","Rarity 5","3,000 z","","","","Neopteron Alert Lv1;Paralysis Resistance Lv1;Foray Lv1"
"","Barina Headgear β","Lala Barina head armor. The rose embellishments were fashioned…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Neopteron Camouflage Group Skills Foray Equipment Skills","1× Lala Barina Certificate S Equipment Materials 3× Lala Barina Carapace Equipment Materials 2× Lala Barina Claw+ Equipment Materials","Lured by Abundance Assignments","","Lala Barina β Armor Sets","Rarity 5","3,000 z","1 "" /> 1","","","Neopteron Camouflage Lv1;Foray Lv1"
"","Barina Mail","Lala Barina chest armor. It may look like normal clothing, but…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Neopteron Alert Group Skills Paralysis Resistance Equipment Skills","2× Lala Barina Floret Equipment Materials 2× Lala Barina Shell Equipment Materials 1× Lala Barina Stinger Equipment Materials","Lala Barina Large Monsters","","Lala Barina Large Monsters","Rarity 1","200 z","","","","Neopteron Alert Lv1;Paralysis Resistance Lv1"
"","Barina Mail α","Lala Barina chest armor. It may look like normal clothing, but…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Neopteron Alert Group Skills Recovery Up Equipment Skills Evade Window Equipment Skills","2× Lala Barina Floret+ Equipment Materials 2× Lala Barina Carapace Equipment Materials 1× Lala Barina Mucus+ Equipment Materials 1× Lala Barina Stinger+ Equipment Materials","Lured by Abundance Assignments","","Lala Barina α Armor Sets","Rarity 5","3,000 z","","","","Neopteron Alert Lv1;Recovery Up Lv2;Evade Window Lv1"
"","Barina Mail β","Lala Barina chest armor. It may look like normal clothing, but…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Neopteron Camouflage Group Skills Recovery Up Equipment Skills Evade Window Equipment Skills","2× Lala Barina Floret+ Equipment Materials 2× Lala Barina Carapace Equipment Materials 1× Lala Barina Mucus+ Equipment Materials 1× Lala Barina Stinger+ Equipment Materials","Lured by Abundance Assignments","","Lala Barina β Armor Sets","Rarity 5","3,000 z","1 "" /> 1","","","Neopteron Camouflage Lv1;Recovery Up Lv1;Evade Window Lv1"
"","Barina Vambraces","Lala Barina armguards that are so elegant they could pass as…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Neopteron Alert Group Skills Recovery Up Equipment Skills","2× Lala Barina Shell Equipment Materials 1× Lala Barina Claw Equipment Materials","Lala Barina Large Monsters","","Lala Barina Large Monsters","Rarity 1","200 z","","","","Neopteron Alert Lv1;Recovery Up Lv1"
"","Barina Vambraces α","Lala Barina armguards that are so elegant they could pass as…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Neopteron Alert Group Skills Recovery Up Equipment Skills Foray Equipment Skills","1× Lala Barina Certificate S Equipment Materials 1× Lala Barina Claw+ Equipment Materials 1× Lala Barina Stinger+ Equipment Materials 1× Monster Broth Equipment Materials","Lured by Abundance Assignments","","Lala Barina α Armor Sets","Rarity 5","3,000 z","","","","Neopteron Alert Lv1;Recovery Up Lv1;Foray Lv1"
"","","","","","","","","","","","","","","",""
"","Barina Vambraces β","Lala Barina armguards that are so elegant they could pass as…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Neopteron Camouflage Group Skills Recovery Up Equipment Skills","1× Lala Barina Certificate S Equipment Materials 1× Lala Barina Claw+ Equipment Materials 1× Lala Barina Stinger+ Equipment Materials 1× Monster Broth Equipment Materials","Lured by Abundance Assignments","","Lala Barina β Armor Sets","Rarity 5","3,000 z","2 "" /> 2","1 "" /> 1","","Neopteron Camouflage Lv1;Recovery Up Lv1"
"","Battle Coil α","Waistgear designed for seasoned hunters. The striking design…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Imparted Wisdom Group Skills Item Prolonger Equipment Skills Bind Resistance Equipment Skills","1× Scarred Scale Equipment Materials 1× Colossal Bone Equipment Materials 1× Dragonbone Relic Equipment Materials","Scarred Scale Equipment Materials","","Battle α Armor Sets","Rarity 6","4,000 z","2 "" /> 2","","","Imparted Wisdom Lv1;Item Prolonger Lv3;Bind Resistance Lv2"
"","Battle Greaves α","Leg armor designed for seasoned hunters. No compromises were…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Imparted Wisdom Group Skills Marathon Runner Equipment Skills Constitution Equipment Skills","1× Scarred Scale Equipment Materials 1× Blango Pelt+ Equipment Materials 1× Frozen Icebone Equipment Materials","Scarred Scale Equipment Materials","","Battle α Armor Sets","Rarity 6","4,000 z","2 "" /> 2","","","Imparted Wisdom Lv1;Marathon Runner Lv3;Constitution Lv2"
"","Battle Helm α","Head armor designed for seasoned hunters. They say it must be…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Imparted Wisdom Group Skills Stamina Surge Equipment Skills","1× Scarred Scale Equipment Materials 1× Blango Pelt+ Equipment Materials 1× Frozen Icebone Equipment Materials","Scarred Scale Equipment Materials","","Battle α Armor Sets","Rarity 6","4,000 z","2 "" /> 2","","","Imparted Wisdom Lv1;Stamina Surge Lv2"
"","Battle Mail α","Chest armor designed for seasoned hunters. Stylish, useful, and…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Imparted Wisdom Group Skills Hunger Resistance Equipment Skills Sleep Resistance Equipment Skills","1× Scarred Scale Equipment Materials 1× Colossal Bone Equipment Materials 1× Frozen Icebone Equipment Materials","Scarred Scale Equipment Materials","","Battle α Armor Sets","Rarity 6","4,000 z","2 "" /> 2","","","Imparted Wisdom Lv1;Hunger Resistance Lv3;Sleep Resistance Lv2"
"","Battle Vambraces α","Armguards designed for seasoned hunters. Highly utile, with extra…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Imparted Wisdom Group Skills Free Meal Equipment Skills","1× Scarred Scale Equipment Materials 1× Colossal Bone Equipment Materials 1× Frozen Icebone Equipment Materials","Scarred Scale Equipment Materials","","Battle α Armor Sets","Rarity 6","4,000 z","2 "" /> 2","","","Imparted Wisdom Lv1;Free Meal Lv3"
"","Blango Coil α","Waistgear made of Blangonga parts with technology from the “Eastern…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Blangonga's Spirit Set Bonus Skills Fortifying Pelt Group Skills Agitator Equipment Skills Wide-Range Equipment Skills","1× Blangonga Certificate S Equipment Materials 5× Blangonga Fang+ Equipment Materials 2× Blangonga Whisker Equipment Materials 3× Freezer Sac Equipment Materials","Blangonga Large Monsters","","Blango α Armor Sets","Rarity 6","5,000 z","1 "" /> 1","","","Blangonga's Spirit Lv1;Fortifying Pelt Lv1;Agitator Lv2;Wide-Range Lv1"
"","Blango Coil β","Waistgear made of Blangonga parts with technology from the “Eastern…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Blangonga's Spirit Set Bonus Skills Alluring Pelt Group Skills Agitator Equipment Skills","1× Blangonga Certificate S Equipment Materials 5× Blangonga Fang+ Equipment Materials 2× Blangonga Whisker Equipment Materials 3× Freezer Sac Equipment Materials","Blangonga Large Monsters","","Blango β Armor Sets","Rarity 6","5,000 z","1 "" /> 1","1 "" /> 1","","Blangonga's Spirit Lv1;Alluring Pelt Lv1;Agitator Lv2"
"","Blango Greaves α","Leg armor made from Blangonga spoils. The striking, exotic shapes…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Blangonga's Spirit Set Bonus Skills Fortifying Pelt Group Skills Agitator Equipment Skills Counterstrike Equipment Skills","3× Blangonga Pelt+ Equipment Materials 2× Blangonga Tail Equipment Materials 2× Blangonga Whisker Equipment Materials 3× Great Stoutbone Equipment Materials","Blangonga Large Monsters","","Blango α Armor Sets","Rarity 6","5,000 z","1 "" /> 1","1 "" /> 1","","Blangonga's Spirit Lv1;Fortifying Pelt Lv1;Agitator Lv1;Counterstrike Lv1"
"","Blango Greaves β","Leg armor made from Blangonga spoils. The striking, exotic shapes…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Blangonga's Spirit Set Bonus Skills Alluring Pelt Group Skills Agitator Equipment Skills","3× Blangonga Pelt+ Equipment Materials 2× Blangonga Tail Equipment Materials 2× Blangonga Whisker Equipment Materials 3× Great Stoutbone Equipment Materials","Blangonga Large Monsters","","Blango β Armor Sets","Rarity 6","5,000 z","2 "" /> 2","2 "" /> 2","","Blangonga's Spirit Lv1;Alluring Pelt Lv1;Agitator Lv1"
"","Blango Helm α","Head armor made from Blangonga materials. Overflowing with the…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Blangonga's Spirit Set Bonus Skills Fortifying Pelt Group Skills Wide-Range Equipment Skills Counterstrike Equipment Skills","3× Blangonga Pelt+ Equipment Materials 4× Blangonga Fang+ Equipment Materials 2× Blangonga Tail Equipment Materials 2× Colossal Bone Equipment Materials","Blangonga Large Monsters","","Blango α Armor Sets","Rarity 6","5,000 z","1 "" /> 1","1 "" /> 1","","Blangonga's Spirit Lv1;Fortifying Pelt Lv1;Wide-Range Lv2;Counterstrike Lv1"
"","Blango Helm β","Head armor made from Blangonga materials. Overflowing with the…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Blangonga's Spirit Set Bonus Skills Alluring Pelt Group Skills Wide-Range Equipment Skills","3× Blangonga Pelt+ Equipment Materials 4× Blangonga Fang+ Equipment Materials 2× Blangonga Tail Equipment Materials 2× Colossal Bone Equipment Materials","Blangonga Large Monsters","","Blango β Armor Sets","Rarity 6","5,000 z","2 "" /> 2","1 "" /> 1","1 "" /> 1","Blangonga's Spirit Lv1;Alluring Pelt Lv1;Wide-Range Lv2"
"","","","","","","","","","","","","","","",""
"","Blango Mail α","Chest armor made of Blangonga materials. It has a distinct, eastern…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Blangonga's Spirit Set Bonus Skills Fortifying Pelt Group Skills Agitator Equipment Skills Item Prolonger Equipment Skills","2× Blangonga Certificate S Equipment Materials 3× Blangonga Whisker Equipment Materials 2× Blango Pelt+ Equipment Materials","Blangonga Large Monsters","","Blango α Armor Sets","Rarity 6","5,000 z","","","","Blangonga's Spirit Lv1;Fortifying Pelt Lv1;Agitator Lv2;Item Prolonger Lv2"
"","Blango Mail β","Chest armor made of Blangonga materials. It has a distinct, eastern…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Blangonga's Spirit Set Bonus Skills Alluring Pelt Group Skills Agitator Equipment Skills","2× Blangonga Certificate S Equipment Materials 3× Blangonga Whisker Equipment Materials 2× Blango Pelt+ Equipment Materials","Blangonga Large Monsters","","Blango β Armor Sets","Rarity 6","5,000 z","2 "" /> 2","","","Blangonga's Spirit Lv1;Alluring Pelt Lv1;Agitator Lv2"
